Unidade da Federação,2020/Jul
35 São Paulo,282709570.31
31 Minas Gerais,120467187.34
41 Paraná,80320852.69
43 Rio Grande do Sul,78929703.81
33 Rio de Janeiro,71540227.33
26 Pernambuco,62325444.34
29 Bahia,58898100.4
42 Santa Catarina,51764534.76
52 Goiás,33499284.38
23 Ceará,30809221.22
15 Pará,27618727.51
32 Espírito Santo,27460475.47
21 Maranhão,24374205.15
53 Distrito Federal,22233542.26
24 Rio Grande do Norte,19593057.45
22 Piauí,18019214.49
25 Paraíba,15491469.06
13 Amazonas,13358514.02
27 Alagoas,13087850.4
51 Mato Grosso,13083151.7
50 Mato Grosso do Sul,12508717.35
11 Rondônia,7407388.24
17 Tocantins,4489665.87
28 Sergipe,3312766.32
14 Roraima,2739498.41
16 Amapá,2155083.37
12 Acre,1163813.08
