,UF,gasto,data,Região,gasto em milhões
0,35 São Paulo,172834914.73,2008-02-01,Sudeste,172.83491472999998
1,35 São Paulo,170481849.56,2008-03-01,Sudeste,170.48184956
2,35 São Paulo,170278285.95,2008-04-01,Sudeste,170.27828595
3,35 São Paulo,172402180.59,2008-05-01,Sudeste,172.40218059
4,35 São Paulo,175416595.83,2008-06-01,Sudeste,175.41659583
5,35 São Paulo,179525002.1,2008-07-01,Sudeste,179.5250021
6,35 São Paulo,179898070.22,2008-08-01,Sudeste,179.89807022
7,35 São Paulo,180082203.71,2008-09-01,Sudeste,180.08220371000002
8,35 São Paulo,191685220.08,2008-10-01,Sudeste,191.68522008000002
9,35 São Paulo,190539738.8,2008-11-01,Sudeste,190.5397388
10,35 São Paulo,177086380.69,2008-12-01,Sudeste,177.08638069
11,35 São Paulo,192321557.36,2009-01-01,Sudeste,192.32155736
12,35 São Paulo,178596376.79,2009-02-01,Sudeste,178.59637679
13,35 São Paulo,216951591.57,2009-03-01,Sudeste,216.95159157
14,35 São Paulo,215053018.45,2009-04-01,Sudeste,215.05301845
15,35 São Paulo,212890248.16,2009-05-01,Sudeste,212.89024816
16,35 São Paulo,212670900.8,2009-06-01,Sudeste,212.6709008
17,35 São Paulo,214041237.42,2009-07-01,Sudeste,214.04123742
18,35 São Paulo,215212536.08,2009-08-01,Sudeste,215.21253608
19,35 São Paulo,214135444.45,2009-09-01,Sudeste,214.13544445
20,35 São Paulo,216056582.61,2009-10-01,Sudeste,216.05658261000002
21,35 São Paulo,208973892.04,2009-11-01,Sudeste,208.97389203999998
22,35 São Paulo,192127099.1,2009-12-01,Sudeste,192.12709909999998
23,35 São Paulo,213467885.76,2010-01-01,Sudeste,213.46788576
24,35 São Paulo,195784795.23,2010-02-01,Sudeste,195.78479523
25,35 São Paulo,239323932.16,2010-03-01,Sudeste,239.32393216
26,35 São Paulo,221172991.21,2010-04-01,Sudeste,221.17299121000002
27,35 São Paulo,231777549.43,2010-05-01,Sudeste,231.77754943
28,35 São Paulo,223933798.66,2010-06-01,Sudeste,223.93379866
29,35 São Paulo,224067914.11,2010-07-01,Sudeste,224.06791411
30,35 São Paulo,248010130.51,2010-08-01,Sudeste,248.01013050999998
31,35 São Paulo,224052980.08,2010-09-01,Sudeste,224.05298008000003
32,35 São Paulo,238935452.74,2010-10-01,Sudeste,238.93545274000002
33,35 São Paulo,225484059.46,2010-11-01,Sudeste,225.48405946
34,35 São Paulo,210611460.51,2010-12-01,Sudeste,210.61146051
35,35 São Paulo,229087002.84,2011-01-01,Sudeste,229.08700284
36,35 São Paulo,221598043.65,2011-02-01,Sudeste,221.59804365
37,35 São Paulo,241399914.84,2011-03-01,Sudeste,241.39991484
38,35 São Paulo,229821234.45,2011-04-01,Sudeste,229.82123445
39,35 São Paulo,250793569.77,2011-05-01,Sudeste,250.79356977
40,35 São Paulo,236807488.84,2011-06-01,Sudeste,236.80748884
41,35 São Paulo,240198575.0,2011-07-01,Sudeste,240.198575
42,35 São Paulo,247770016.22,2011-08-01,Sudeste,247.77001622
43,35 São Paulo,233279286.79,2011-09-01,Sudeste,233.27928679
44,35 São Paulo,232142203.82,2011-10-01,Sudeste,232.14220382
45,35 São Paulo,223376817.0,2011-11-01,Sudeste,223.376817
46,35 São Paulo,208275186.55,2011-12-01,Sudeste,208.27518655
47,35 São Paulo,236793097.61,2012-01-01,Sudeste,236.79309761000002
48,35 São Paulo,219391949.71,2012-02-01,Sudeste,219.39194971
49,35 São Paulo,245948266.79,2012-03-01,Sudeste,245.94826679
50,35 São Paulo,230941852.55,2012-04-01,Sudeste,230.94185255000002
51,35 São Paulo,251697218.42,2012-05-01,Sudeste,251.69721841999998
52,35 São Paulo,234257242.25,2012-06-01,Sudeste,234.25724225
53,35 São Paulo,244245230.34,2012-07-01,Sudeste,244.24523034
54,35 São Paulo,252189769.02,2012-08-01,Sudeste,252.18976902
55,35 São Paulo,238132456.09,2012-09-01,Sudeste,238.13245609
56,35 São Paulo,278819909.14,2012-10-01,Sudeste,278.81990914
57,35 São Paulo,225775860.13,2012-11-01,Sudeste,225.77586012999998
58,35 São Paulo,215780410.93,2012-12-01,Sudeste,215.78041093000002
59,35 São Paulo,253136778.93,2013-01-01,Sudeste,253.13677893000002
60,35 São Paulo,222449529.2,2013-02-01,Sudeste,222.4495292
61,35 São Paulo,254938242.41,2013-03-01,Sudeste,254.93824241
62,35 São Paulo,262649865.82,2013-04-01,Sudeste,262.64986582
63,35 São Paulo,262509975.32,2013-05-01,Sudeste,262.50997531999997
64,35 São Paulo,254003022.72,2013-06-01,Sudeste,254.00302272
65,35 São Paulo,263071967.69,2013-07-01,Sudeste,263.07196769
66,35 São Paulo,265891360.31,2013-08-01,Sudeste,265.89136031
67,35 São Paulo,261812951.34,2013-09-01,Sudeste,261.81295134
68,35 São Paulo,283880125.83,2013-10-01,Sudeste,283.88012583
69,35 São Paulo,247979952.13,2013-11-01,Sudeste,247.97995213
70,35 São Paulo,230481632.33,2013-12-01,Sudeste,230.48163233000002
71,35 São Paulo,269471735.49,2014-01-01,Sudeste,269.47173549
72,35 São Paulo,250402409.64,2014-02-01,Sudeste,250.40240963999997
73,35 São Paulo,264110211.92,2014-03-01,Sudeste,264.11021192
74,35 São Paulo,258798943.55,2014-04-01,Sudeste,258.79894355
75,35 São Paulo,279688977.63,2014-05-01,Sudeste,279.68897763
76,35 São Paulo,263429825.31,2014-06-01,Sudeste,263.42982531
77,35 São Paulo,277895785.59,2014-07-01,Sudeste,277.89578558999995
78,35 São Paulo,278163971.5,2014-08-01,Sudeste,278.1639715
79,35 São Paulo,283488957.85,2014-09-01,Sudeste,283.48895785
80,35 São Paulo,277244325.24,2014-10-01,Sudeste,277.24432524
81,35 São Paulo,256175038.19,2014-11-01,Sudeste,256.17503819
82,35 São Paulo,241676276.49,2014-12-01,Sudeste,241.67627649000002
83,35 São Paulo,265637237.34,2015-01-01,Sudeste,265.63723734
84,35 São Paulo,238228852.91,2015-02-01,Sudeste,238.22885291
85,35 São Paulo,285416733.48,2015-03-01,Sudeste,285.41673348
86,35 São Paulo,264977073.59,2015-04-01,Sudeste,264.97707359000003
87,35 São Paulo,276962312.95,2015-05-01,Sudeste,276.96231295
