,index,nome_munic,codigo_ibge,dia,mes,datahora,casos,casos_novos,casos_pc,casos_mm7d,obitos,obitos_novos,obitos_pc,obitos_mm7d,letalidade,nome_ra,cod_ra,nome_drs,cod_drs,pop,pop_60,area,map_leg,map_leg_s,latitude,longitude,semana_epidem,taxa_de_crescimento_casos,taxa_de_crescimento_obitos,ano,media_movel_casos,media_movel_obitos
0,562,São Paulo,3550308,25,2,2020-02-25,1,0,"8,424841e-03","   0,0000000",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",9,,,2020,,
1,1207,São Paulo,3550308,26,2,2020-02-26,1,0,"8,424841e-03","   0,0000000",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",9,0.0,0.0,2020,,
2,1852,São Paulo,3550308,27,2,2020-02-27,1,0,"8,424841e-03","   0,0000000",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",9,0.0,0.0,2020,,
3,2497,São Paulo,3550308,28,2,2020-02-28,2,1,"1,684968e-02","   0,0000000",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",9,1.0,0.0,2020,,
4,3142,São Paulo,3550308,29,2,2020-02-29,2,0,"1,684968e-02","   0,0000000",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",9,-1.0,0.0,2020,,
5,3787,São Paulo,3550308,1,3,2020-03-01,2,0,"1,684968e-02","   0,0000000",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",10,0.0,0.0,2020,,
6,4432,São Paulo,3550308,2,3,2020-03-02,2,0,"1,684968e-02","   0,1428571",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",10,0.0,0.0,2020,0.14285714285714285,0.0
7,5077,São Paulo,3550308,3,3,2020-03-03,2,0,"1,684968e-02","   0,1428571",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",10,0.0,0.0,2020,0.14285714285714285,0.0
8,5722,São Paulo,3550308,4,3,2020-03-04,3,1,"2,527452e-02","   0,2857143",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",10,1.0,0.0,2020,0.2857142857142857,0.0
9,6367,São Paulo,3550308,5,3,2020-03-05,6,3,"5,054905e-02","   0,7142857",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",10,2.0,0.0,2020,0.7142857142857143,0.0
10,7012,São Paulo,3550308,6,3,2020-03-06,6,0,"5,054905e-02","   0,5714286",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",10,-3.0,0.0,2020,0.5714285714285714,0.0
11,7657,São Paulo,3550308,7,3,2020-03-07,12,6,"1,010981e-01","   1,4285714",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",10,6.0,0.0,2020,1.4285714285714286,0.0
12,8302,São Paulo,3550308,8,3,2020-03-08,15,3,"1,263726e-01","   1,8571429",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",11,-3.0,0.0,2020,1.8571428571428572,0.0
13,8947,São Paulo,3550308,9,3,2020-03-09,15,0,"1,263726e-01","   1,8571429",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",11,-3.0,0.0,2020,1.8571428571428572,0.0
14,9592,São Paulo,3550308,10,3,2020-03-10,18,3,"1,516471e-01","   2,2857143",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",11,3.0,0.0,2020,2.2857142857142856,0.0
15,10237,São Paulo,3550308,11,3,2020-03-11,29,11,"2,443204e-01","   3,7142857",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",11,8.0,0.0,2020,3.7142857142857144,0.0
16,10882,São Paulo,3550308,12,3,2020-03-12,44,15,"3,706930e-01","   5,4285714",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",11,4.0,0.0,2020,5.428571428571429,0.0
17,11527,São Paulo,3550308,13,3,2020-03-13,44,0,"3,706930e-01","   5,4285714",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7.0,"-23,5329","-46,6395",11,-15.0,0.0,2020,5.428571428571429,0.0
18,12172,São Paulo,3550308,14,3,2020-03-14,62,18,"5,223402e-01","   7,1428571",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<150,6.0,"-23,5329","-46,6395",11,18.0,0.0,2020,7.142857142857143,0.0
19,12817,São Paulo,3550308,15,3,2020-03-15,62,0,"5,223402e-01","   6,7142857",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<150,6.0,"-23,5329","-46,6395",12,-18.0,0.0,2020,6.714285714285714,0.0
20,13462,São Paulo,3550308,16,3,2020-03-16,145,83,"1,221602e+00","  18,5714286",0,0,"0,000000e+00","  0,0000000","0,0000000000",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<150,6.0,"-23,5329","-46,6395",12,83.0,0.0,2020,18.571428571428573,0.0
21,14107,São Paulo,3550308,17,3,2020-03-17,156,11,"1,314275e+00","  19,7142857",1,1,"8,424841e-03","  0,1428571","0,0064102564",RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<300,5.0,"-23,5329","-46,6395",12,-72.0,1.0,2020,19.714285714285715,0.14285714285714285
